,Unnamed: 0,real,img,nr_result_x,nr_result_y,tag,color,x,y
0,0,-3.0,-3.0,-3.2367,-3.3422,3,"(67, 147, 195)",0,0
1,1,-3.0,-2.9393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",0,1
2,2,-3.0,-2.878787878787879,-3.2367,-3.3422,3,"(67, 147, 195)",0,2
3,3,-3.0,-2.8181818181818183,-3.2367,-3.3422,3,"(67, 147, 195)",0,3
4,4,-3.0,-2.757575757575758,-3.2367,-3.3422,3,"(67, 147, 195)",0,4
5,5,-3.0,-2.696969696969697,-3.2367,-3.3422,3,"(67, 147, 195)",0,5
6,6,-3.0,-2.636363636363636,-3.2367,-3.3422,3,"(67, 147, 195)",0,6
7,7,-3.0,-2.575757575757576,-3.2367,-3.3422,3,"(67, 147, 195)",0,7
8,8,-3.0,-2.515151515151515,-3.2367,-3.3422,3,"(67, 147, 195)",0,8
9,9,-3.0,-2.4545454545454546,-3.2367,-3.3422,3,"(67, 147, 195)",0,9
10,10,-3.0,-2.393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",0,10
11,11,-3.0,-2.333333333333333,-3.2367,-3.3422,3,"(67, 147, 195)",0,11
12,12,-3.0,-2.2727272727272725,-3.2367,-3.3422,3,"(67, 147, 195)",0,12
13,13,-3.0,-2.212121212121212,-3.2367,-3.3422,3,"(67, 147, 195)",0,13
14,14,-3.0,-2.1515151515151514,-3.2367,-3.3422,3,"(67, 147, 195)",0,14
15,15,-3.0,-2.090909090909091,-3.2367,-3.3422,3,"(67, 147, 195)",0,15
16,16,-3.0,-2.0303030303030303,-3.2367,-3.3422,3,"(67, 147, 195)",0,16
17,17,-3.0,-1.9696969696969695,-3.2367,-3.3422,3,"(67, 147, 195)",0,17
18,18,-3.0,-1.9090909090909087,-3.2367,-3.3422,3,"(67, 147, 195)",0,18
19,19,-3.0,-1.8484848484848484,-3.2367,-3.3422,3,"(67, 147, 195)",0,19
20,20,-3.0,-1.7878787878787878,-3.2367,-3.3422,3,"(67, 147, 195)",0,20
21,21,-3.0,-1.7272727272727273,-3.2367,-3.3422,3,"(67, 147, 195)",0,21
22,22,-3.0,-1.6666666666666663,-3.2367,-3.3422,3,"(67, 147, 195)",0,22
23,23,-3.0,-1.606060606060606,-3.2367,-3.3422,3,"(67, 147, 195)",0,23
24,24,-3.0,-1.5454545454545454,-3.2367,-3.3422,3,"(67, 147, 195)",0,24
25,25,-3.0,-1.4848484848484849,-3.2367,-3.3422,3,"(67, 147, 195)",0,25
26,26,-3.0,-1.4242424242424243,-3.2367,-3.3422,3,"(67, 147, 195)",0,26
27,27,-3.0,-1.3636363636363635,-3.2367,-3.3422,3,"(67, 147, 195)",0,27
28,28,-3.0,-1.303030303030303,-3.2367,-3.3422,3,"(67, 147, 195)",0,28
29,29,-3.0,-1.2424242424242424,-3.2367,-3.3422,3,"(67, 147, 195)",0,29
30,30,-3.0,-1.1818181818181817,-3.2367,-3.3422,3,"(67, 147, 195)",0,30
31,31,-3.0,-1.121212121212121,3.1653,-3.3425,0,"(214, 96, 77)",0,31
32,32,-3.0,-1.0606060606060606,3.1653,-3.3425,0,"(214, 96, 77)",0,32
33,33,-3.0,-1.0,3.1653,3.3425,2,"(209, 229, 240)",0,33
34,34,-3.0,-0.9393939393939394,-3.2367,3.3422,1,"(253, 219, 199)",0,34
35,35,-3.0,-0.8787878787878789,-3.2367,3.3422,1,"(253, 219, 199)",0,35
36,36,-3.0,-0.8181818181818183,3.1653,3.3425,2,"(209, 229, 240)",0,36
37,37,-3.0,-0.7575757575757573,-3.2367,3.3422,1,"(253, 219, 199)",0,37
38,38,-3.0,-0.6969696969696968,3.1653,-3.3425,0,"(214, 96, 77)",0,38
39,39,-3.0,-0.6363636363636362,-3.2367,3.3422,1,"(253, 219, 199)",0,39
40,40,-3.0,-0.5757575757575757,3.1653,3.3425,2,"(209, 229, 240)",0,40
41,41,-3.0,-0.5151515151515151,3.1653,-3.3425,0,"(214, 96, 77)",0,41
42,42,-3.0,-0.4545454545454546,3.1653,-3.3425,0,"(214, 96, 77)",0,42
43,43,-3.0,-0.393939393939394,3.1653,-3.3425,0,"(214, 96, 77)",0,43
44,44,-3.0,-0.333333333333333,3.1653,-3.3425,0,"(214, 96, 77)",0,44
45,45,-3.0,-0.2727272727272725,3.1653,-3.3425,0,"(214, 96, 77)",0,45
46,46,-3.0,-0.2121212121212119,-3.2367,3.3422,1,"(253, 219, 199)",0,46
47,47,-3.0,-0.1515151515151513,-3.2367,-3.3422,3,"(67, 147, 195)",0,47
48,48,-3.0,-0.0909090909090908,-3.2367,-3.3422,3,"(67, 147, 195)",0,48
49,49,-3.0,-0.0303030303030302,-3.2367,-3.3422,3,"(67, 147, 195)",0,49
50,50,-3.0,0.0303030303030302,-3.2367,3.3422,1,"(253, 219, 199)",0,50
51,51,-3.0,0.0909090909090908,-3.2367,3.3422,1,"(253, 219, 199)",0,51
52,52,-3.0,0.1515151515151513,-3.2367,3.3422,1,"(253, 219, 199)",0,52
53,53,-3.0,0.2121212121212123,-3.2367,-3.3422,3,"(67, 147, 195)",0,53
54,54,-3.0,0.2727272727272729,3.1653,3.3425,2,"(209, 229, 240)",0,54
55,55,-3.0,0.3333333333333335,3.1653,3.3425,2,"(209, 229, 240)",0,55
56,56,-3.0,0.393939393939394,3.1653,3.3425,2,"(209, 229, 240)",0,56
57,57,-3.0,0.4545454545454546,3.1653,3.3425,2,"(209, 229, 240)",0,57
58,58,-3.0,0.5151515151515151,3.1653,3.3425,2,"(209, 229, 240)",0,58
59,59,-3.0,0.5757575757575757,3.1653,-3.3425,0,"(214, 96, 77)",0,59
60,60,-3.0,0.6363636363636367,-3.2367,-3.3422,3,"(67, 147, 195)",0,60
61,61,-3.0,0.6969696969696972,3.1653,3.3425,2,"(209, 229, 240)",0,61
62,62,-3.0,0.7575757575757578,-3.2367,-3.3422,3,"(67, 147, 195)",0,62
63,63,-3.0,0.8181818181818183,3.1653,-3.3425,0,"(214, 96, 77)",0,63
64,64,-3.0,0.8787878787878789,-3.2367,-3.3422,3,"(67, 147, 195)",0,64
65,65,-3.0,0.9393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",0,65
66,66,-3.0,1.0,3.1653,-3.3425,0,"(214, 96, 77)",0,66
67,67,-3.0,1.0606060606060606,3.1653,3.3425,2,"(209, 229, 240)",0,67
68,68,-3.0,1.121212121212121,3.1653,3.3425,2,"(209, 229, 240)",0,68
69,69,-3.0,1.1818181818181817,-3.2367,3.3422,1,"(253, 219, 199)",0,69
70,70,-3.0,1.2424242424242422,-3.2367,3.3422,1,"(253, 219, 199)",0,70
71,71,-3.0,1.3030303030303028,-3.2367,3.3422,1,"(253, 219, 199)",0,71
72,72,-3.0,1.363636363636363,-3.2367,3.3422,1,"(253, 219, 199)",0,72
73,73,-3.0,1.4242424242424248,-3.2367,3.3422,1,"(253, 219, 199)",0,73
74,74,-3.0,1.4848484848484853,-3.2367,3.3422,1,"(253, 219, 199)",0,74
75,75,-3.0,1.545454545454546,-3.2367,3.3422,1,"(253, 219, 199)",0,75
76,76,-3.0,1.6060606060606064,-3.2367,3.3422,1,"(253, 219, 199)",0,76
77,77,-3.0,1.666666666666667,-3.2367,3.3422,1,"(253, 219, 199)",0,77
78,78,-3.0,1.7272727272727275,-3.2367,3.3422,1,"(253, 219, 199)",0,78
79,79,-3.0,1.787878787878788,-3.2367,3.3422,1,"(253, 219, 199)",0,79
80,80,-3.0,1.8484848484848488,-3.2367,3.3422,1,"(253, 219, 199)",0,80
81,81,-3.0,1.9090909090909087,-3.2367,3.3422,1,"(253, 219, 199)",0,81
82,82,-3.0,1.9696969696969695,-3.2367,3.3422,1,"(253, 219, 199)",0,82
83,83,-3.0,2.0303030303030303,-3.2367,3.3422,1,"(253, 219, 199)",0,83
84,84,-3.0,2.090909090909091,-3.2367,3.3422,1,"(253, 219, 199)",0,84
85,85,-3.0,2.1515151515151514,-3.2367,3.3422,1,"(253, 219, 199)",0,85
86,86,-3.0,2.212121212121212,-3.2367,3.3422,1,"(253, 219, 199)",0,86
87,87,-3.0,2.2727272727272725,-3.2367,3.3422,1,"(253, 219, 199)",0,87
88,88,-3.0,2.333333333333334,-3.2367,3.3422,1,"(253, 219, 199)",0,88
89,89,-3.0,2.3939393939393945,-3.2367,3.3422,1,"(253, 219, 199)",0,89
90,90,-3.0,2.454545454545455,-3.2367,3.3422,1,"(253, 219, 199)",0,90
91,91,-3.0,2.515151515151516,-3.2367,3.3422,1,"(253, 219, 199)",0,91
92,92,-3.0,2.575757575757576,-3.2367,3.3422,1,"(253, 219, 199)",0,92
93,93,-3.0,2.6363636363636367,-3.2367,3.3422,1,"(253, 219, 199)",0,93
94,94,-3.0,2.696969696969697,-3.2367,3.3422,1,"(253, 219, 199)",0,94
95,95,-3.0,2.757575757575758,-3.2367,3.3422,1,"(253, 219, 199)",0,95
96,96,-3.0,2.8181818181818183,-3.2367,3.3422,1,"(253, 219, 199)",0,96
97,97,-3.0,2.878787878787879,-3.2367,3.3422,1,"(253, 219, 199)",0,97
98,98,-3.0,2.9393939393939394,-3.2367,3.3422,1,"(253, 219, 199)",0,98
99,99,-3.0,3.0,-3.2367,3.3422,1,"(253, 219, 199)",0,99
100,100,-2.9393939393939394,-3.0,-3.2367,-3.3422,3,"(67, 147, 195)",1,0
101,101,-2.9393939393939394,-2.9393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",1,1
102,102,-2.9393939393939394,-2.878787878787879,-3.2367,-3.3422,3,"(67, 147, 195)",1,2
103,103,-2.9393939393939394,-2.8181818181818183,-3.2367,-3.3422,3,"(67, 147, 195)",1,3
104,104,-2.9393939393939394,-2.757575757575758,-3.2367,-3.3422,3,"(67, 147, 195)",1,4
105,105,-2.9393939393939394,-2.696969696969697,-3.2367,-3.3422,3,"(67, 147, 195)",1,5
106,106,-2.9393939393939394,-2.636363636363636,-3.2367,-3.3422,3,"(67, 147, 195)",1,6
107,107,-2.9393939393939394,-2.575757575757576,-3.2367,-3.3422,3,"(67, 147, 195)",1,7
108,108,-2.9393939393939394,-2.515151515151515,-3.2367,-3.3422,3,"(67, 147, 195)",1,8
109,109,-2.9393939393939394,-2.4545454545454546,-3.2367,-3.3422,3,"(67, 147, 195)",1,9
110,110,-2.9393939393939394,-2.393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",1,10
111,111,-2.9393939393939394,-2.333333333333333,-3.2367,-3.3422,3,"(67, 147, 195)",1,11
112,112,-2.9393939393939394,-2.2727272727272725,-3.2367,-3.3422,3,"(67, 147, 195)",1,12
113,113,-2.9393939393939394,-2.212121212121212,-3.2367,-3.3422,3,"(67, 147, 195)",1,13
114,114,-2.9393939393939394,-2.1515151515151514,-3.2367,-3.3422,3,"(67, 147, 195)",1,14
115,115,-2.9393939393939394,-2.090909090909091,-3.2367,-3.3422,3,"(67, 147, 195)",1,15
116,116,-2.9393939393939394,-2.0303030303030303,-3.2367,-3.3422,3,"(67, 147, 195)",1,16
117,117,-2.9393939393939394,-1.9696969696969695,-3.2367,-3.3422,3,"(67, 147, 195)",1,17
118,118,-2.9393939393939394,-1.9090909090909087,-3.2367,-3.3422,3,"(67, 147, 195)",1,18
119,119,-2.9393939393939394,-1.8484848484848484,-3.2367,-3.3422,3,"(67, 147, 195)",1,19
120,120,-2.9393939393939394,-1.7878787878787878,-3.2367,-3.3422,3,"(67, 147, 195)",1,20
121,121,-2.9393939393939394,-1.7272727272727273,-3.2367,-3.3422,3,"(67, 147, 195)",1,21
122,122,-2.9393939393939394,-1.6666666666666663,-3.2367,-3.3422,3,"(67, 147, 195)",1,22
123,123,-2.9393939393939394,-1.606060606060606,-3.2367,-3.3422,3,"(67, 147, 195)",1,23
124,124,-2.9393939393939394,-1.5454545454545454,-3.2367,-3.3422,3,"(67, 147, 195)",1,24
125,125,-2.9393939393939394,-1.4848484848484849,-3.2367,-3.3422,3,"(67, 147, 195)",1,25
126,126,-2.9393939393939394,-1.4242424242424243,-3.2367,-3.3422,3,"(67, 147, 195)",1,26
127,127,-2.9393939393939394,-1.3636363636363635,-3.2367,-3.3422,3,"(67, 147, 195)",1,27
128,128,-2.9393939393939394,-1.303030303030303,-3.2367,-3.3422,3,"(67, 147, 195)",1,28
129,129,-2.9393939393939394,-1.2424242424242424,-3.2367,-3.3422,3,"(67, 147, 195)",1,29
130,130,-2.9393939393939394,-1.1818181818181817,-3.2367,-3.3422,3,"(67, 147, 195)",1,30
131,131,-2.9393939393939394,-1.121212121212121,-3.2367,-3.3422,3,"(67, 147, 195)",1,31
132,132,-2.9393939393939394,-1.0606060606060606,-3.2367,-3.3422,3,"(67, 147, 195)",1,32
133,133,-2.9393939393939394,-1.0,-3.2367,-3.3422,3,"(67, 147, 195)",1,33
134,134,-2.9393939393939394,-0.9393939393939394,-3.2367,-3.3422,3,"(67, 147, 195)",1,34
135,135,-2.9393939393939394,-0.8787878787878789,-3.2367,3.3422,1,"(253, 219, 199)",1,35
136,136,-2.9393939393939394,-0.8181818181818183,-3.2367,3.3422,1,"(253, 219, 199)",1,36
137,137,-2.9393939393939394,-0.7575757575757573,3.1653,3.3425,2,"(209, 229, 240)",1,37
138,138,-2.9393939393939394,-0.6969696969696968,-3.2367,-3.3422,3,"(67, 147, 195)",1,38
139,139,-2.9393939393939394,-0.6363636363636362,3.1653,3.3425,2,"(209, 229, 240)",1,39
140,140,-2.9393939393939394,-0.5757575757575757,3.1653,-3.3425,0,"(214, 96, 77)",1,40
141,141,-2.9393939393939394,-0.5151515151515151,3.1653,-3.3425,0,"(214, 96, 77)",1,41
142,142,-2.9393939393939394,-0.4545454545454546,3.1653,-3.3425,0,"(214, 96, 77)",1,42
143,143,-2.9393939393939394,-0.393939393939394,3.1653,-3.3425,0,"(214, 96, 77)",1,43
144,144,-2.9393939393939394,-0.333333333333333,3.1653,-3.3425,0,"(214, 96, 77)",1,44
145,145,-2.9393939393939394,-0.2727272727272725,3.1653,-3.3425,0,"(214, 96, 77)",1,45
146,146,-2.9393939393939394,-0.2121212121212119,-3.2367,3.3422,1,"(253, 219, 199)",1,46
147,147,-2.9393939393939394,-0.1515151515151513,-3.2367,-3.3422,3,"(67, 147, 195)",1,47
148,148,-2.9393939393939394,-0.0909090909090908,-3.2367,-3.3422,3,"(67, 147, 195)",1,48
149,149,-2.9393939393939394,-0.0303030303030302,-3.2367,-3.3422,3,"(67, 147, 195)",1,49
150,150,-2.9393939393939394,0.0303030303030302,-3.2367,3.3422,1,"(253, 219, 199)",1,50
151,151,-2.9393939393939394,0.0909090909090908,-3.2367,3.3422,1,"(253, 219, 199)",1,51
152,152,-2.9393939393939394,0.1515151515151513,-3.2367,3.3422,1,"(253, 219, 199)",1,52
153,153,-2.9393939393939394,0.2121212121212123,-3.2367,-3.3422,3,"(67, 147, 195)",1,53
154,154,-2.9393939393939394,0.2727272727272729,3.1653,3.3425,2,"(209, 229, 240)",1,54
155,155,-2.9393939393939394,0.3333333333333335,3.1653,3.3425,2,"(209, 229, 240)",1,55
156,156,-2.9393939393939394,0.393939393939394,3.1653,3.3425,2,"(209, 229, 240)",1,56
157,157,-2.9393939393939394,0.4545454545454546,3.1653,3.3425,2,"(209, 229, 240)",1,57
158,158,-2.9393939393939394,0.5151515151515151,3.1653,3.3425,2,"(209, 229, 240)",1,58
159,159,-2.9393939393939394,0.5757575757575757,3.1653,3.3425,2,"(209, 229, 240)",1,59
160,160,-2.9393939393939394,0.6363636363636367,3.1653,-3.3425,0,"(214, 96, 77)",1,60
161,161,-2.9393939393939394,0.6969696969696972,-3.2367,3.3422,1,"(253, 219, 199)",1,61
162,162,-2.9393939393939394,0.7575757575757578,3.1653,-3.3425,0,"(214, 96, 77)",1,62
163,163,-2.9393939393939394,0.8181818181818183,-3.2367,-3.3422,3,"(67, 147, 195)",1,63
164,164,-2.9393939393939394,0.8787878787878789,-3.2367,-3.3422,3,"(67, 147, 195)",1,64
165,165,-2.9393939393939394,0.9393939393939394,-3.2367,3.3422,1,"(253, 219, 199)",1,65
166,166,-2.9393939393939394,1.0,-3.2367,3.3422,1,"(253, 219, 199)",1,66
167,167,-2.9393939393939394,1.0606060606060606,-3.2367,3.3422,1,"(253, 219, 199)",1,67
168,168,-2.9393939393939394,1.121212121212121,-3.2367,3.3422,1,"(253, 219, 199)",1,68
169,169,-2.9393939393939394,1.1818181818181817,-3.2367,3.3422,1,"(253, 219, 199)",1,69
170,170,-2.9393939393939394,1.2424242424242422,-3.2367,3.3422,1,"(253, 219, 199)",1,70
171,171,-2.9393939393939394,1.3030303030303028,-3.2367,3.3422,1,"(253, 219, 199)",1,71
